n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,best_iteration,train_auc,valid_auc
200,3,0.05,1.0,0.8,0.8,0.0,195,0.9548,0.9317
200,3,0.05,1.0,0.8,0.8,1.0,195,0.9530,0.9315
200,3,0.05,1.0,0.8,1.0,0.0,199,0.9552,0.9299
200,3,0.05,1.0,0.8,1.0,1.0,193,0.9506,0.9264
200,3,0.05,1.0,1.0,0.8,0.0,198,0.9482,0.9235
200,3,0.05,1.0,1.0,0.8,1.0,197,0.9471,0.9220
200,3,0.05,1.0,1.0,1.0,0.0,199,0.9490,0.9210
200,3,0.05,1.0,1.0,1.0,1.0,199,0.9489,0.9243
200,3,0.05,3.0,0.8,0.8,0.0,199,0.9549,0.9337
200,3,0.05,3.0,0.8,0.8,1.0,198,0.9501,0.9280
200,3,0.05,3.0,0.8,1.0,0.0,198,0.9519,0.9264
200,3,0.05,3.0,0.8,1.0,1.0,198,0.9517,0.9285
200,3,0.05,3.0,1.0,0.8,0.0,198,0.9494,0.9241
200,3,0.05,3.0,1.0,0.8,1.0,199,0.9443,0.9200
200,3,0.05,3.0,1.0,1.0,0.0,198,0.9469,0.9238
200,3,0.05,3.0,1.0,1.0,1.0,196,0.9480,0.9248
200,3,0.1,1.0,0.8,0.8,0.0,199,0.9780,0.9444
200,3,0.1,1.0,0.8,0.8,1.0,193,0.9774,0.9467
200,3,0.1,1.0,0.8,1.0,0.0,199,0.9784,0.9420
200,3,0.1,1.0,0.8,1.0,1.0,198,0.9763,0.9415
200,3,0.1,1.0,1.0,0.8,0.0,196,0.9739,0.9423
200,3,0.1,1.0,1.0,0.8,1.0,198,0.9715,0.9362
200,3,0.1,1.0,1.0,1.0,0.0,199,0.9746,0.9380
200,3,0.1,1.0,1.0,1.0,1.0,199,0.9716,0.9355
200,3,0.1,3.0,0.8,0.8,0.0,199,0.9766,0.9404
200,3,0.1,3.0,0.8,0.8,1.0,195,0.9763,0.9449
200,3,0.1,3.0,0.8,1.0,0.0,193,0.9773,0.9425
200,3,0.1,3.0,0.8,1.0,1.0,193,0.9749,0.9417
200,3,0.1,3.0,1.0,0.8,0.0,199,0.9681,0.9286
200,3,0.1,3.0,1.0,0.8,1.0,199,0.9710,0.9385
200,3,0.1,3.0,1.0,1.0,0.0,191,0.9737,0.9448
200,3,0.1,3.0,1.0,1.0,1.0,197,0.9697,0.9376
200,4,0.05,1.0,0.8,0.8,0.0,195,0.9809,0.9491
200,4,0.05,1.0,0.8,0.8,1.0,199,0.9812,0.9525
200,4,0.05,1.0,0.8,1.0,0.0,196,0.9820,0.9520
200,4,0.05,1.0,0.8,1.0,1.0,198,0.9799,0.9514
200,4,0.05,1.0,1.0,0.8,0.0,198,0.9792,0.9495
200,4,0.05,1.0,1.0,0.8,1.0,199,0.9749,0.9454
200,4,0.05,1.0,1.0,1.0,0.0,199,0.9790,0.9475
200,4,0.05,1.0,1.0,1.0,1.0,197,0.9772,0.9473
200,4,0.05,3.0,0.8,0.8,0.0,193,0.9777,0.9492
200,4,0.05,3.0,0.8,0.8,1.0,180,0.9758,0.9503
200,4,0.05,3.0,0.8,1.0,0.0,198,0.9788,0.9504
200,4,0.05,3.0,0.8,1.0,1.0,196,0.9769,0.9498
200,4,0.05,3.0,1.0,0.8,0.0,199,0.9755,0.9469
200,4,0.05,3.0,1.0,0.8,1.0,199,0.9733,0.9426
200,4,0.05,3.0,1.0,1.0,0.0,199,0.9757,0.9452
200,4,0.05,3.0,1.0,1.0,1.0,198,0.9723,0.9425
200,4,0.1,1.0,0.8,0.8,0.0,199,0.9964,0.9587
200,4,0.1,1.0,0.8,0.8,1.0,199,0.9953,0.9587
200,4,0.1,1.0,0.8,1.0,0.0,135,0.9914,0.9598
200,4,0.1,1.0,0.8,1.0,1.0,198,0.9953,0.9609
200,4,0.1,1.0,1.0,0.8,0.0,199,0.9931,0.9527
200,4,0.1,1.0,1.0,0.8,1.0,198,0.9920,0.9572
200,4,0.1,1.0,1.0,1.0,0.0,190,0.9935,0.9576
200,4,0.1,1.0,1.0,1.0,1.0,195,0.9924,0.9566
200,4,0.1,3.0,0.8,0.8,0.0,195,0.9942,0.9601
200,4,0.1,3.0,0.8,0.8,1.0,199,0.9938,0.9587
200,4,0.1,3.0,0.8,1.0,0.0,195,0.9943,0.9595
200,4,0.1,3.0,0.8,1.0,1.0,195,0.9939,0.9609
200,4,0.1,3.0,1.0,0.8,0.0,195,0.9922,0.9565
200,4,0.1,3.0,1.0,0.8,1.0,199,0.9907,0.9543
200,4,0.1,3.0,1.0,1.0,0.0,198,0.9928,0.9579
200,4,0.1,3.0,1.0,1.0,1.0,199,0.9924,0.9571
200,5,0.05,1.0,0.8,0.8,0.0,196,0.9948,0.9627
200,5,0.05,1.0,0.8,0.8,1.0,197,0.9933,0.9635
200,5,0.05,1.0,0.8,1.0,0.0,199,0.9955,0.9632
200,5,0.05,1.0,0.8,1.0,1.0,198,0.9936,0.9642
200,5,0.05,1.0,1.0,0.8,0.0,195,0.9913,0.9567
200,5,0.05,1.0,1.0,0.8,1.0,199,0.9891,0.9555
200,5,0.05,1.0,1.0,1.0,0.0,198,0.9922,0.9573
200,5,0.05,1.0,1.0,1.0,1.0,198,0.9903,0.9576
200,5,0.05,3.0,0.8,0.8,0.0,197,0.9925,0.9629
200,5,0.05,3.0,0.8,0.8,1.0,199,0.9916,0.9630
200,5,0.05,3.0,0.8,1.0,0.0,199,0.9929,0.9627
200,5,0.05,3.0,0.8,1.0,1.0,199,0.9914,0.9624
200,5,0.05,3.0,1.0,0.8,0.0,198,0.9894,0.9577
200,5,0.05,3.0,1.0,0.8,1.0,199,0.9861,0.9532
200,5,0.05,3.0,1.0,1.0,0.0,199,0.9895,0.9587
200,5,0.05,3.0,1.0,1.0,1.0,199,0.9871,0.9556
200,5,0.1,1.0,0.8,0.8,0.0,195,0.9998,0.9680
200,5,0.1,1.0,0.8,0.8,1.0,199,0.9995,0.9658
200,5,0.1,1.0,0.8,1.0,0.0,196,0.9999,0.9660
200,5,0.1,1.0,0.8,1.0,1.0,197,0.9997,0.9681
200,5,0.1,1.0,1.0,0.8,0.0,199,0.9994,0.9659
200,5,0.1,1.0,1.0,0.8,1.0,195,0.9987,0.9634
200,5,0.1,1.0,1.0,1.0,0.0,142,0.9978,0.9654
200,5,0.1,1.0,1.0,1.0,1.0,188,0.9986,0.9664
200,5,0.1,3.0,0.8,0.8,0.0,196,0.9992,0.9658
200,5,0.1,3.0,0.8,0.8,1.0,197,0.9987,0.9656
200,5,0.1,3.0,0.8,1.0,0.0,195,0.9992,0.9682
200,5,0.1,3.0,0.8,1.0,1.0,199,0.9993,0.9661
200,5,0.1,3.0,1.0,0.8,0.0,199,0.9987,0.9656
200,5,0.1,3.0,1.0,0.8,1.0,193,0.9976,0.9611
200,5,0.1,3.0,1.0,1.0,0.0,152,0.9968,0.9644
200,5,0.1,3.0,1.0,1.0,1.0,195,0.9980,0.9649
400,3,0.05,1.0,0.8,0.8,0.0,290,0.9700,0.9396
400,3,0.05,1.0,0.8,0.8,1.0,397,0.9781,0.9453
400,3,0.05,1.0,0.8,1.0,0.0,397,0.9803,0.9442
400,3,0.05,1.0,0.8,1.0,1.0,397,0.9783,0.9419
400,3,0.05,1.0,1.0,0.8,0.0,388,0.9708,0.9372
400,3,0.05,1.0,1.0,0.8,1.0,397,0.9696,0.9332
400,3,0.05,1.0,1.0,1.0,0.0,377,0.9705,0.9328
400,3,0.05,1.0,1.0,1.0,1.0,396,0.9710,0.9377
400,3,0.05,3.0,0.8,0.8,0.0,397,0.9775,0.9450
400,3,0.05,3.0,0.8,0.8,1.0,289,0.9657,0.9380
400,3,0.05,3.0,0.8,1.0,0.0,397,0.9777,0.9412
400,3,0.05,3.0,0.8,1.0,1.0,397,0.9774,0.9420
400,3,0.05,3.0,1.0,0.8,0.0,359,0.9698,0.9368
400,3,0.05,3.0,1.0,0.8,1.0,398,0.9688,0.9361
400,3,0.05,3.0,1.0,1.0,0.0,393,0.9728,0.9381
400,3,0.05,3.0,1.0,1.0,1.0,394,0.9721,0.9384
400,3,0.1,1.0,0.8,0.8,0.0,289,0.9889,0.9488
400,3,0.1,1.0,0.8,0.8,1.0,397,0.9943,0.9572
400,3,0.1,1.0,0.8,1.0,0.0,291,0.9897,0.9490
400,3,0.1,1.0,0.8,1.0,1.0,399,0.9946,0.9551
400,3,0.1,1.0,1.0,0.8,0.0,243,0.9797,0.9453
400,3,0.1,1.0,1.0,0.8,1.0,375,0.9899,0.9492
400,3,0.1,1.0,1.0,1.0,0.0,306,0.9875,0.9500
400,3,0.1,1.0,1.0,1.0,1.0,399,0.9912,0.9497
400,3,0.1,3.0,0.8,0.8,0.0,399,0.9946,0.9511
400,3,0.1,3.0,0.8,0.8,1.0,397,0.9934,0.9562
400,3,0.1,3.0,0.8,1.0,0.0,395,0.9946,0.9546
400,3,0.1,3.0,0.8,1.0,1.0,397,0.9929,0.9500
400,3,0.1,3.0,1.0,0.8,0.0,395,0.9915,0.9461
400,3,0.1,3.0,1.0,0.8,1.0,378,0.9895,0.9513
400,3,0.1,3.0,1.0,1.0,0.0,191,0.9737,0.9448
400,3,0.1,3.0,1.0,1.0,1.0,203,0.9708,0.9389
400,4,0.05,1.0,0.8,0.8,0.0,397,0.9964,0.9616
400,4,0.05,1.0,0.8,0.8,1.0,398,0.9955,0.9605
400,4,0.05,1.0,0.8,1.0,0.0,396,0.9966,0.9613
400,4,0.05,1.0,0.8,1.0,1.0,395,0.9956,0.9616
400,4,0.05,1.0,1.0,0.8,0.0,395,0.9938,0.9583
400,4,0.05,1.0,1.0,0.8,1.0,342,0.9892,0.9576
400,4,0.05,1.0,1.0,1.0,0.0,382,0.9931,0.9571
400,4,0.05,1.0,1.0,1.0,1.0,294,0.9865,0.9525
400,4,0.05,3.0,0.8,0.8,0.0,398,0.9944,0.9581
400,4,0.05,3.0,0.8,0.8,1.0,296,0.9880,0.9570
400,4,0.05,3.0,0.8,1.0,0.0,397,0.9946,0.9580
400,4,0.05,3.0,0.8,1.0,1.0,294,0.9884,0.9576
400,4,0.05,3.0,1.0,0.8,0.0,349,0.9899,0.9568
400,4,0.05,3.0,1.0,0.8,1.0,258,0.9805,0.9474
400,4,0.05,3.0,1.0,1.0,0.0,399,0.9927,0.9552
400,4,0.05,3.0,1.0,1.0,1.0,393,0.9909,0.9525
400,4,0.1,1.0,0.8,0.8,0.0,338,0.9998,0.9645
400,4,0.1,1.0,0.8,0.8,1.0,355,0.9997,0.9656
400,4,0.1,1.0,0.8,1.0,0.0,135,0.9914,0.9598
400,4,0.1,1.0,0.8,1.0,1.0,388,0.9999,0.9672
400,4,0.1,1.0,1.0,0.8,0.0,396,0.9998,0.9632
400,4,0.1,1.0,1.0,0.8,1.0,399,0.9994,0.9633
400,4,0.1,1.0,1.0,1.0,0.0,393,0.9999,0.9656
400,4,0.1,1.0,1.0,1.0,1.0,311,0.9978,0.9594
400,4,0.1,3.0,0.8,0.8,0.0,295,0.9985,0.9635
400,4,0.1,3.0,0.8,0.8,1.0,395,0.9997,0.9650
400,4,0.1,3.0,0.8,1.0,0.0,225,0.9963,0.9611
400,4,0.1,3.0,0.8,1.0,1.0,362,0.9997,0.9664
400,4,0.1,3.0,1.0,0.8,0.0,398,0.9997,0.9639
400,4,0.1,3.0,1.0,0.8,1.0,399,0.9992,0.9654
400,4,0.1,3.0,1.0,1.0,0.0,200,0.9929,0.9579
400,4,0.1,3.0,1.0,1.0,1.0,381,0.9993,0.9649
400,5,0.05,1.0,0.8,0.8,0.0,395,0.9999,0.9685
400,5,0.05,1.0,0.8,0.8,1.0,257,0.9972,0.9656
400,5,0.05,1.0,0.8,1.0,0.0,382,0.9999,0.9701
400,5,0.05,1.0,0.8,1.0,1.0,362,0.9995,0.9704
400,5,0.05,1.0,1.0,0.8,0.0,269,0.9963,0.9603
400,5,0.05,1.0,1.0,0.8,1.0,398,0.9985,0.9630
400,5,0.05,1.0,1.0,1.0,0.0,385,0.9990,0.9627
400,5,0.05,1.0,1.0,1.0,1.0,389,0.9986,0.9640
400,5,0.05,3.0,0.8,0.8,0.0,399,0.9994,0.9684
400,5,0.05,3.0,0.8,0.8,1.0,297,0.9970,0.9676
400,5,0.05,3.0,0.8,1.0,0.0,399,0.9996,0.9699
400,5,0.05,3.0,0.8,1.0,1.0,397,0.9993,0.9690
400,5,0.05,3.0,1.0,0.8,0.0,335,0.9972,0.9621
400,5,0.05,3.0,1.0,0.8,1.0,399,0.9979,0.9611
400,5,0.05,3.0,1.0,1.0,0.0,339,0.9975,0.9631
400,5,0.05,3.0,1.0,1.0,1.0,397,0.9976,0.9622
400,5,0.1,1.0,0.8,0.8,0.0,289,1.0000,0.9705
400,5,0.1,1.0,0.8,0.8,1.0,364,1.0000,0.9699
400,5,0.1,1.0,0.8,1.0,0.0,397,1.0000,0.9711
400,5,0.1,1.0,0.8,1.0,1.0,363,1.0000,0.9718
400,5,0.1,1.0,1.0,0.8,0.0,394,1.0000,0.9712
400,5,0.1,1.0,1.0,0.8,1.0,356,1.0000,0.9692
400,5,0.1,1.0,1.0,1.0,0.0,142,0.9978,0.9654
400,5,0.1,1.0,1.0,1.0,1.0,246,0.9997,0.9685
400,5,0.1,3.0,0.8,0.8,0.0,356,1.0000,0.9700
400,5,0.1,3.0,0.8,0.8,1.0,258,0.9999,0.9689
400,5,0.1,3.0,0.8,1.0,0.0,273,1.0000,0.9708
400,5,0.1,3.0,0.8,1.0,1.0,294,1.0000,0.9696
400,5,0.1,3.0,1.0,0.8,0.0,395,1.0000,0.9701
400,5,0.1,3.0,1.0,0.8,1.0,399,1.0000,0.9668
400,5,0.1,3.0,1.0,1.0,0.0,152,0.9968,0.9644
400,5,0.1,3.0,1.0,1.0,1.0,399,1.0000,0.9717
